ID,Type,PieceMark,Section,Material,StartX,StartY,StartZ,EndX,EndY,EndZ,Leg_Start,Leg_End
00100330,beam,M330,L40x4,A36,-1.00274,0.0,10.925,-0.983333,-0.983333,12.0,,"{'ID': '00100303', 'Type': 'beam', 'PieceMark': 'M303', 'Section': 'L130x12', 'Material': 'A36', 'StartX': -1.02215, 'StartY': -1.02215, 'StartZ': 9.85, 'EndX': -0.983333, 'EndY': -0.983333, 'EndZ': 12.0}"
00100336,beam,M336,L40x4,A36,-1.05826,-1.05826,7.85,0.0,-1.04021,8.85,"{'ID': '00100355', 'Type': 'beam', 'PieceMark': 'M355', 'Section': 'L130x12', 'Material': 'A36', 'StartX': -1.09167, 'StartY': -1.09167, 'StartZ': 6.0, 'EndX': -1.05826, 'EndY': -1.05826, 'EndZ': 7.85}",
00100337,beam,M337,L40x4,A36,1.05826,-1.05826,7.85,0.0,-1.04021,8.85,"{'ID': '00100356', 'Type': 'beam', 'PieceMark': 'M356', 'Section': 'L130x12', 'Material': 'A36', 'StartX': 1.09167, 'StartY': -1.09167, 'StartZ': 6.0, 'EndX': 1.05826, 'EndY': -1.05826, 'EndZ': 7.85}",
00100339,beam,M339,L40x4,A36,1.05826,-1.05826,7.85,1.04021,0.0,8.85,"{'ID': '00100356', 'Type': 'beam', 'PieceMark': 'M356', 'Section': 'L130x12', 'Material': 'A36', 'StartX': 1.09167, 'StartY': -1.09167, 'StartZ': 6.0, 'EndX': 1.05826, 'EndY': -1.05826, 'EndZ': 7.85}",
00100340,beam,M340,L40x4,A36,1.05826,1.05826,7.85,1.04021,0.0,8.85,"{'ID': '00100357', 'Type': 'beam', 'PieceMark': 'M357', 'Section': 'L130x12', 'Material': 'A36', 'StartX': 1.09167, 'StartY': 1.09167, 'StartZ': 6.0, 'EndX': 1.05826, 'EndY': 1.05826, 'EndZ': 7.85}",
00100342,beam,M342,L40x4,A36,1.05826,1.05826,7.85,0.0,1.04021,8.85,"{'ID': '00100357', 'Type': 'beam', 'PieceMark': 'M357', 'Section': 'L130x12', 'Material': 'A36', 'StartX': 1.09167, 'StartY': 1.09167, 'StartZ': 6.0, 'EndX': 1.05826, 'EndY': 1.05826, 'EndZ': 7.85}",
00100343,beam,M343,L40x4,A36,-1.05826,1.05826,7.85,0.0,1.04021,8.85,"{'ID': '00100358', 'Type': 'beam', 'PieceMark': 'M358', 'Section': 'L130x12', 'Material': 'A36', 'StartX': -1.09167, 'StartY': 1.09167, 'StartZ': 6.0, 'EndX': -1.05826, 'EndY': 1.05826, 'EndZ': 7.85}",
00100345,beam,M345,L40x4,A36,-1.05826,1.05826,7.85,-1.04021,0.0,8.85,"{'ID': '00100358', 'Type': 'beam', 'PieceMark': 'M358', 'Section': 'L130x12', 'Material': 'A36', 'StartX': -1.09167, 'StartY': 1.09167, 'StartZ': 6.0, 'EndX': -1.05826, 'EndY': 1.05826, 'EndZ': 7.85}",
00100346,beam,M346,L40x4,A36,-1.05826,-1.05826,7.85,-1.04021,0.0,8.85,"{'ID': '00100355', 'Type': 'beam', 'PieceMark': 'M355', 'Section': 'L130x12', 'Material': 'A36', 'StartX': -1.09167, 'StartY': -1.09167, 'StartZ': 6.0, 'EndX': -1.05826, 'EndY': -1.05826, 'EndZ': 7.85}",
00100347,beam,M347,L40x4,A36,0.0,-1.04021,8.85,-1.02215,-1.02215,9.85,,"{'ID': '00100331', 'Type': 'beam', 'PieceMark': 'M331', 'Section': 'L130x12', 'Material': 'A36', 'StartX': -1.05826, 'StartY': -1.05826, 'StartZ': 7.85, 'EndX': -1.02215, 'EndY': -1.02215, 'EndZ': 9.85}"
