,ID,Type,PieceMark,Section,Material,StartX,StartY,StartZ,EndX,EndY,EndZ,MemberClass
244,100080,beam,M80,L40x5,A36,0.55,0.45,38.59090909090909,0.55,-0.45,39.40909090909091,brace
245,100081,beam,M81,L40x5,A36,-0.45,0.55,38.59090909090909,0.45,0.55,39.40909090909091,brace
246,100082,beam,M82,L40x5,A36,-0.55,-0.45,38.59090909090909,-0.55,0.45,39.40909090909091,brace
247,100091,beam,M91,L40x4,A36,-0.45,-0.55,36.06818181818182,0.45,-0.55,36.68181818181818,brace
248,100092,beam,M92,L40x4,A36,0.55,-0.45,36.06818181818182,0.55,0.45,36.68181818181818,brace
249,100093,beam,M93,L40x4,A36,0.45,0.55,36.06818181818182,-0.45,0.55,36.68181818181818,brace
250,100094,beam,M94,L40x4,A36,-0.55,0.45,36.06818181818182,-0.55,-0.45,36.68181818181818,brace
251,100095,beam,M95,L40x4,A36,0.45,-0.55,36.81818181818182,-0.45,-0.55,37.43181818181818,brace
252,100096,beam,M96,L40x4,A36,0.55,0.45,36.81818181818182,0.55,-0.45,37.43181818181818,brace
253,100097,beam,M97,L40x4,A36,-0.45,0.55,36.81818181818182,0.45,0.55,37.43181818181818,brace
254,100098,beam,M98,L40x4,A36,-0.55,-0.45,36.81818181818182,-0.55,0.45,37.43181818181818,brace
255,100109,beam,M109,L40x5,A36,-0.488827593613656,-0.5888438432999157,33.8486462505585,0.4720155641258547,-0.572031899961765,34.77974634682294,brace
256,100110,beam,M110,L40x5,A36,0.5888438432999157,-0.488827593613656,33.8486462505585,0.572031899961765,0.4720155641258547,34.77974634682294,brace
257,100111,beam,M111,L40x5,A36,0.488827593613656,0.5888438432999157,33.8486462505585,-0.4720155641258547,0.572031899961765,34.77974634682294,brace
258,100112,beam,M112,L40x5,A36,-0.5888438432999157,0.488827593613656,33.8486462505585,-0.572031899961765,-0.4720155641258547,34.77974634682294,brace
259,100113,beam,M113,L40x5,A36,0.4684488138771912,-0.5684651528390962,34.97728943757468,-0.4517648193282687,-0.5517810690145283,35.9013537494415,brace
260,100114,beam,M114,L40x5,A36,0.5684651528390962,0.4684488138771912,34.97728943757468,0.5517810690145283,-0.4517648193282687,35.9013537494415,brace
261,100115,beam,M115,L40x5,A36,-0.4684488138771912,0.5684651528390962,34.97728943757468,0.4517648193282687,0.5517810690145283,35.9013537494415,brace
262,100116,beam,M116,L40x5,A36,-0.5684651528390962,-0.4684488138771912,34.97728943757468,-0.5517810690145283,0.4517648193282687,35.9013537494415,brace
263,100125,beam,M125,L40x5,A36,-0.5261033300077186,-0.6261196236202602,31.78414982380901,0.5105902813787252,-0.6106065749912667,32.64333147641172,brace
264,100126,beam,M126,L40x5,A36,0.6261196236202602,-0.5261033300077186,31.78414982380901,0.6106065749912667,0.5105902813787252,32.64333147641172,brace
265,100127,beam,M127,L40x5,A36,0.5261033300077186,0.6261196236202602,31.78414982380901,-0.5105902813787252,0.6106065749912667,32.64333147641172,brace
266,100128,beam,M128,L40x5,A36,-0.6261196236202602,0.5261033300077186,31.78414982380901,-0.6106065749912667,-0.5105902813787252,32.64333147641172,brace
267,100129,beam,M129,L40x5,A36,0.5075487209517866,-0.6075650145643282,32.811786625145274,-0.4921280827671981,-0.5921443763797397,33.66585017619099,brace
268,100130,beam,M130,L40x5,A36,0.6075650145643282,0.5075487209517866,32.811786625145274,0.5921443763797397,-0.4921280827671981,33.66585017619099,brace
269,100131,beam,M131,L40x5,A36,-0.5075487209517866,0.6075650145643282,32.811786625145274,0.4921280827671981,0.5921443763797397,33.66585017619099,brace
270,100132,beam,M132,L40x5,A36,-0.6075650145643282,-0.5075487209517866,32.811786625145274,-0.5921443763797397,0.4921280827671981,33.66585017619099,brace
271,100141,beam,M141,L40x4,A36,-0.5571230961711747,-0.6571393892142811,30.066108631515025,0.5441354923947591,-0.6441517854378654,30.785432486988626,brace
272,100142,beam,M142,L40x4,A36,0.6571393892142811,-0.5571230961711747,30.066108631515025,0.6441517854378654,0.5441354923947591,30.785432486988626,brace
273,100143,beam,M143,L40x4,A36,0.5571230961711747,0.6571393892142811,30.066108631515025,-0.5441354923947591,0.6441517854378654,30.785432486988626,brace
274,100144,beam,M144,L40x4,A36,-0.6571393892142811,0.5571230961711747,30.066108631515025,-0.6441517854378654,-0.5441354923947591,30.785432486988626,brace
275,100145,beam,M145,L40x4,A36,0.5417469100550659,-0.6417632030981721,30.91772511673641,-0.5288163177426126,-0.6288326107857188,31.63389136848497,brace
276,100146,beam,M146,L40x4,A36,0.6417632030981721,0.5417469100550659,30.91772511673641,0.6288326107857188,-0.5288163177426126,31.63389136848497,brace
277,100147,beam,M147,L40x4,A36,-0.5417469100550659,0.6417632030981721,30.91772511673641,0.5288163177426126,0.6288326107857188,31.63389136848497,brace
278,100148,beam,M148,L40x4,A36,-0.6417632030981721,-0.5417469100550659,30.91772511673641,-0.6288326107857188,0.5288163177426126,31.63389136848497,brace
279,100157,beam,M157,L40x5,A36,-0.5913528207585033,-0.6913691146952732,28.170331198011457,0.5767081430339301,-0.6767244369707001,28.981410533308168,brace
280,100158,beam,M158,L40x5,A36,0.6913691146952732,-0.5913528207585033,28.170331198011457,0.6767244369707001,0.5767081430339301,28.981410533308168,brace
281,100159,beam,M159,L40x5,A36,0.5913528207585033,0.6913691146952732,28.170331198011457,-0.5767081430339301,0.6767244369707001,28.981410533308168,brace
282,100160,beam,M160,L40x5,A36,-0.6913691146952732,0.5913528207585033,28.170331198011457,-0.6767244369707001,-0.5767081430339301,28.981410533308168,brace
283,100161,beam,M161,L40x5,A36,0.5741667336390182,-0.6741830275757881,29.12216369165752,-0.5595865913679569,-0.6596028853047268,29.929668801988544,brace
284,100162,beam,M162,L40x5,A36,0.6741830275757881,0.5741667336390182,29.12216369165752,0.6596028853047268,-0.5595865913679569,29.929668801988544,brace
285,100163,beam,M163,L40x5,A36,-0.5741667336390182,0.6741830275757881,29.12216369165752,0.5595865913679569,0.6596028853047268,29.929668801988544,brace
286,100164,beam,M164,L40x5,A36,-0.6741830275757881,-0.5741667336390182,29.12216369165752,-0.6596028853047268,0.5595865913679569,29.929668801988544,brace
287,100173,beam,M173,L40x5,A36,-0.6239763600405825,-0.7239926535553416,26.363489956934924,0.6099933638830742,-0.7100096573978333,27.13793282104308,brace
288,100174,beam,M174,L40x5,A36,0.7239926535553416,-0.6239763600405825,26.363489956934924,0.7100096573978333,0.6099933638830742,27.13793282104308,brace
289,100175,beam,M175,L40x5,A36,0.6239763600405825,0.7239926535553416,26.363489956934924,-0.6099933638830742,0.7100096573978333,27.13793282104308,brace
290,100176,beam,M176,L40x5,A36,-0.7239926535553416,0.6239763600405825,26.363489956934924,-0.7100096573978333,-0.6099933638830742,27.13793282104308,brace
291,100177,beam,M177,L40x5,A36,0.6076994656125678,-0.7077157591273269,27.26497949448651,-0.5937690529298993,-0.6937853464446584,28.03651004306508,brace
292,100178,beam,M178,L40x5,A36,0.7077157591273269,0.6076994656125678,27.26497949448651,0.6937853464446584,-0.5937690529298993,28.03651004306508,brace
293,100179,beam,M179,L40x5,A36,-0.6076994656125678,0.7077157591273269,27.26497949448651,0.5937690529298993,0.6937853464446584,28.03651004306508,brace
294,100180,beam,M180,L40x5,A36,-0.7077157591273269,-0.6076994656125678,27.26497949448651,-0.6937853464446584,0.5937690529298993,28.03651004306508,brace
295,100189,beam,M189,L40x5,A36,0.6657311337095169,-0.7657474452299756,24.0509299026351,-0.6537106747176524,-0.7537269508972962,24.71668970938691,brace
296,100190,beam,M190,L40x5,A36,0.7657474452299756,0.6657311337095169,24.0509299026351,0.7537269508972962,-0.6537106747176524,24.71668970938691,brace
297,100191,beam,M191,L40x5,A36,-0.6657311337095169,0.7657474452299756,24.0509299026351,0.6537106747176524,0.7537269508972962,24.71668970938691,brace
