Member A,Class A,Member B,Class B,Volume (m³)
90,leg,94,leg,N/A
170,horizontal,344,brace,1.236509e-06
23,leg,254,brace,N/A
292,brace,37,leg,N/A
15,leg,233,brace,N/A
430,brace,438,brace,3.862433e-06
429,brace,91,leg,N/A
383,brace,76,leg,N/A
135,horizontal,263,brace,6.644370e-07
138,horizontal,274,brace,6.582533e-07
151,horizontal,44,leg,N/A
105,horizontal,210,brace,7.852196e-06
359,brace,366,brace,2.334311e-06
149,horizontal,312,brace,1.134613e-05
228,brace,9,leg,N/A
265,brace,269,brace,3.766075e-06
134,horizontal,277,brace,1.027536e-05
344,brace,356,brace,2.111612e-05
434,brace,435,brace,2.688886e-06
361,brace,385,brace,2.280347e-06
184,horizontal,379,brace,5.679253e-06
327,brace,56,leg,N/A
373,brace,374,brace,2.381841e-06
292,brace,41,leg,N/A
352,brace,73,leg,N/A
19,leg,23,leg,N/A
194,horizontal,201,horizontal,1.810193e-06
190,horizontal,191,horizontal,6.399829e-07
133,horizontal,34,leg,N/A
123,horizontal,260,brace,1.000902e-06
162,horizontal,57,leg,N/A
17,leg,21,leg,N/A
170,horizontal,343,brace,2.419333e-05
124,horizontal,125,horizontal,6.400172e-07
132,horizontal,29,leg,N/A
21,leg,248,brace,N/A
371,brace,74,leg,N/A
411,brace,434,brace,1.834698e-07
452,brace,95,leg,N/A
182,horizontal,384,brace,5.315662e-06
144,horizontal,40,leg,N/A
165,horizontal,326,brace,2.508924e-05
144,horizontal,304,brace,6.265995e-07
169,horizontal,335,brace,1.239917e-06
443,brace,451,brace,3.967182e-06
258,brace,270,brace,3.497105e-06
271,brace,275,brace,4.751185e-06
317,brace,59,leg,N/A
181,horizontal,374,brace,4.869261e-06
176,horizontal,74,leg,N/A
0,leg,101,horizontal,N/A
355,brace,64,leg,N/A
141,horizontal,38,leg,N/A
106,horizontal,5,leg,N/A
145,horizontal,46,leg,N/A
161,horizontal,317,brace,9.329143e-07
342,brace,63,leg,N/A
186,horizontal,392,brace,6.265125e-06
276,brace,33,leg,N/A
199,horizontal,427,brace,1.186838e-06
173,horizontal,71,leg,N/A
413,brace,421,brace,2.324582e-06
107,horizontal,108,horizontal,6.400172e-07
29,leg,33,leg,N/A
138,horizontal,273,brace,1.048063e-05
25,leg,268,brace,N/A
203,horizontal,439,brace,7.691083e-06
278,brace,32,leg,N/A
144,horizontal,145,horizontal,6.399867e-07
318,brace,55,leg,N/A
445,brace,95,leg,N/A
170,horizontal,65,leg,N/A
293,brace,43,leg,N/A
367,brace,68,leg,N/A
182,horizontal,183,horizontal,6.400211e-07
17,leg,244,brace,N/A
139,horizontal,286,brace,9.764486e-06
169,horizontal,347,brace,1.193025e-06
304,brace,46,leg,N/A
300,brace,304,brace,6.022320e-06
167,horizontal,62,leg,N/A
14,leg,18,leg,N/A
368,brace,369,brace,2.338093e-06
343,brace,347,brace,1.921706e-05
52,leg,56,leg,N/A
32,leg,36,leg,N/A
391,brace,392,brace,2.135594e-06
281,brace,42,leg,N/A
435,brace,436,brace,2.970799e-06
125,horizontal,248,brace,1.037438e-05
231,brace,243,brace,3.476685e-06
218,brace,222,brace,3.274235e-06
423,brace,432,brace,5.071731e-09
114,horizontal,244,brace,6.400172e-07
199,horizontal,200,horizontal,6.400111e-07
150,horizontal,46,leg,N/A
163,horizontal,62,leg,N/A
227,brace,9,leg,N/A
286,brace,36,leg,N/A
1,leg,5,leg,N/A
170,horizontal,68,leg,N/A
412,brace,420,brace,2.324595e-06
128,horizontal,131,horizontal,6.400172e-07
10,leg,14,leg,N/A
193,horizontal,414,brace,5.540764e-06
386,brace,74,leg,N/A
316,brace,320,brace,7.726206e-06
131,horizontal,24,leg,N/A
123,horizontal,124,horizontal,1.545131e-06
378,brace,386,brace,2.381296e-06
107,horizontal,6,leg,N/A
375,brace,76,leg,N/A
185,horizontal,389,brace,5.315668e-06
116,horizontal,245,brace,8.276783e-06
18,leg,240,brace,N/A
13,leg,17,leg,N/A
4,leg,8,leg,N/A
217,brace,221,brace,3.274235e-06
414,brace,431,brace,1.834685e-07
202,horizontal,432,brace,3.998263e-07
22,leg,248,brace,N/A
302,brace,306,brace,6.022320e-06
407,brace,416,brace,3.673596e-09
10,leg,107,horizontal,N/A
16,leg,243,brace,N/A
166,horizontal,336,brace,1.239917e-06
345,brace,67,leg,N/A
102,horizontal,208,brace,6.399562e-07
302,brace,47,leg,N/A
123,horizontal,21,leg,N/A
200,horizontal,436,brace,1.250820e-06
