ID,Type,PieceMark,Section,Material,StartX,StartY,StartZ,EndX,EndY,EndZ,Holes,HoleCount
100040,beam,M40,L40x4,A36,0.55,-0.55,43.7,0.55,0.55,43.7,"[{'MemberID': 100040, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 1, 'HoleCenterX': 0.55, 'HoleCenterY': -0.488, 'HoleCenterZ': 43.7, 'NormalX': -1.0, 'NormalY': 0.0, 'NormalZ': 0.0, 'ConnectedLegID': 100020, 'Radius': 0.006, 'Depth': 0.05}, {'MemberID': 100040, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 2, 'HoleCenterX': 0.55, 'HoleCenterY': 0.488, 'HoleCenterZ': 43.7, 'NormalX': -1.0, 'NormalY': 0.0, 'NormalZ': 0.0, 'ConnectedLegID': 100021, 'Radius': 0.006, 'Depth': 0.05}]",2
100041,beam,M41,L40x4,A36,0.55,0.55,43.7,-0.55,0.55,43.7,"[{'MemberID': 100041, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 1, 'HoleCenterX': 0.488, 'HoleCenterY': 0.55, 'HoleCenterZ': 43.7, 'NormalX': 0.0, 'NormalY': -1.0, 'NormalZ': 0.0, 'ConnectedLegID': 100021, 'Radius': 0.006, 'Depth': 0.05}, {'MemberID': 100041, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 2, 'HoleCenterX': -0.488, 'HoleCenterY': 0.55, 'HoleCenterZ': 43.7, 'NormalX': 0.0, 'NormalY': -1.0, 'NormalZ': 0.0, 'ConnectedLegID': 100022, 'Radius': 0.006, 'Depth': 0.05}]",2
100042,beam,M42,L40x4,A36,-0.55,0.55,43.7,-0.55,-0.55,43.7,"[{'MemberID': 100042, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 1, 'HoleCenterX': -0.55, 'HoleCenterY': 0.488, 'HoleCenterZ': 43.7, 'NormalX': 1.0, 'NormalY': 0.0, 'NormalZ': -0.0, 'ConnectedLegID': 100022, 'Radius': 0.006, 'Depth': 0.05}, {'MemberID': 100042, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 2, 'HoleCenterX': -0.55, 'HoleCenterY': -0.488, 'HoleCenterZ': 43.7, 'NormalX': 1.0, 'NormalY': 0.0, 'NormalZ': -0.0, 'ConnectedLegID': 100019, 'Radius': 0.006, 'Depth': 0.05}]",2
100055,beam,M55,L40x4,A36,-0.55,-0.55,41.55,0.55,-0.55,41.55,"[{'MemberID': 100055, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 1, 'HoleCenterX': -0.488, 'HoleCenterY': -0.55, 'HoleCenterZ': 41.55, 'NormalX': 0.0, 'NormalY': 1.0, 'NormalZ': 0.0, 'ConnectedLegID': 100051, 'Radius': 0.006, 'Depth': 0.05}, {'MemberID': 100055, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 2, 'HoleCenterX': 0.488, 'HoleCenterY': -0.55, 'HoleCenterZ': 41.55, 'NormalX': 0.0, 'NormalY': 1.0, 'NormalZ': 0.0, 'ConnectedLegID': 100052, 'Radius': 0.006, 'Depth': 0.05}]",2
100056,beam,M56,L40x4,A36,0.55,-0.55,41.55,0.55,0.55,41.55,"[{'MemberID': 100056, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 1, 'HoleCenterX': 0.55, 'HoleCenterY': -0.488, 'HoleCenterZ': 41.55, 'NormalX': -1.0, 'NormalY': 0.0, 'NormalZ': 0.0, 'ConnectedLegID': 100052, 'Radius': 0.006, 'Depth': 0.05}, {'MemberID': 100056, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 2, 'HoleCenterX': 0.55, 'HoleCenterY': 0.488, 'HoleCenterZ': 41.55, 'NormalX': -1.0, 'NormalY': 0.0, 'NormalZ': 0.0, 'ConnectedLegID': 100053, 'Radius': 0.006, 'Depth': 0.05}]",2
100057,beam,M57,L40x4,A36,0.55,0.55,41.55,-0.55,0.55,41.55,"[{'MemberID': 100057, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 1, 'HoleCenterX': 0.488, 'HoleCenterY': 0.55, 'HoleCenterZ': 41.55, 'NormalX': 0.0, 'NormalY': -1.0, 'NormalZ': 0.0, 'ConnectedLegID': 100053, 'Radius': 0.006, 'Depth': 0.05}, {'MemberID': 100057, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 2, 'HoleCenterX': -0.488, 'HoleCenterY': 0.55, 'HoleCenterZ': 41.55, 'NormalX': 0.0, 'NormalY': -1.0, 'NormalZ': 0.0, 'ConnectedLegID': 100054, 'Radius': 0.006, 'Depth': 0.05}]",2
100058,beam,M58,L40x4,A36,-0.55,0.55,41.55,-0.55,-0.55,41.55,"[{'MemberID': 100058, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 1, 'HoleCenterX': -0.55, 'HoleCenterY': 0.488, 'HoleCenterZ': 41.55, 'NormalX': 1.0, 'NormalY': 0.0, 'NormalZ': -0.0, 'ConnectedLegID': 100054, 'Radius': 0.006, 'Depth': 0.05}, {'MemberID': 100058, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 2, 'HoleCenterX': -0.55, 'HoleCenterY': -0.488, 'HoleCenterZ': 41.55, 'NormalX': 1.0, 'NormalY': 0.0, 'NormalZ': -0.0, 'ConnectedLegID': 100051, 'Radius': 0.006, 'Depth': 0.05}]",2
100071,beam,M71,L40x4,A36,-0.55,-0.55,39.5,0.55,-0.55,39.5,"[{'MemberID': 100071, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 1, 'HoleCenterX': -0.488, 'HoleCenterY': -0.55, 'HoleCenterZ': 39.5, 'NormalX': 0.0, 'NormalY': 1.0, 'NormalZ': 0.0, 'ConnectedLegID': 100067, 'Radius': 0.006, 'Depth': 0.05}, {'MemberID': 100071, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 2, 'HoleCenterX': 0.488, 'HoleCenterY': -0.55, 'HoleCenterZ': 39.5, 'NormalX': 0.0, 'NormalY': 1.0, 'NormalZ': 0.0, 'ConnectedLegID': 100068, 'Radius': 0.006, 'Depth': 0.05}]",2
100072,beam,M72,L40x4,A36,0.55,-0.55,39.5,0.55,0.55,39.5,"[{'MemberID': 100072, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 1, 'HoleCenterX': 0.55, 'HoleCenterY': -0.488, 'HoleCenterZ': 39.5, 'NormalX': -1.0, 'NormalY': 0.0, 'NormalZ': 0.0, 'ConnectedLegID': 100068, 'Radius': 0.006, 'Depth': 0.05}, {'MemberID': 100072, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 2, 'HoleCenterX': 0.55, 'HoleCenterY': 0.488, 'HoleCenterZ': 39.5, 'NormalX': -1.0, 'NormalY': 0.0, 'NormalZ': 0.0, 'ConnectedLegID': 100069, 'Radius': 0.006, 'Depth': 0.05}]",2
100073,beam,M73,L40x4,A36,0.55,0.55,39.5,-0.55,0.55,39.5,"[{'MemberID': 100073, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 1, 'HoleCenterX': 0.488, 'HoleCenterY': 0.55, 'HoleCenterZ': 39.5, 'NormalX': 0.0, 'NormalY': -1.0, 'NormalZ': 0.0, 'ConnectedLegID': 100069, 'Radius': 0.006, 'Depth': 0.05}, {'MemberID': 100073, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 2, 'HoleCenterX': -0.488, 'HoleCenterY': 0.55, 'HoleCenterZ': 39.5, 'NormalX': 0.0, 'NormalY': -1.0, 'NormalZ': 0.0, 'ConnectedLegID': 100070, 'Radius': 0.006, 'Depth': 0.05}]",2
100074,beam,M74,L40x4,A36,-0.55,0.55,39.5,-0.55,-0.55,39.5,"[{'MemberID': 100074, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 1, 'HoleCenterX': -0.55, 'HoleCenterY': 0.488, 'HoleCenterZ': 39.5, 'NormalX': 1.0, 'NormalY': 0.0, 'NormalZ': -0.0, 'ConnectedLegID': 100070, 'Radius': 0.006, 'Depth': 0.05}, {'MemberID': 100074, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 2, 'HoleCenterX': -0.55, 'HoleCenterY': -0.488, 'HoleCenterZ': 39.5, 'NormalX': 1.0, 'NormalY': 0.0, 'NormalZ': -0.0, 'ConnectedLegID': 100067, 'Radius': 0.006, 'Depth': 0.05}]",2
100087,beam,M87,L40x4,A36,-0.55,-0.55,37.5,0.55,-0.55,37.5,"[{'MemberID': 100087, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 1, 'HoleCenterX': -0.488, 'HoleCenterY': -0.55, 'HoleCenterZ': 37.5, 'NormalX': 0.0, 'NormalY': 1.0, 'NormalZ': 0.0, 'ConnectedLegID': 100083, 'Radius': 0.006, 'Depth': 0.05}, {'MemberID': 100087, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 2, 'HoleCenterX': 0.488, 'HoleCenterY': -0.55, 'HoleCenterZ': 37.5, 'NormalX': 0.0, 'NormalY': 1.0, 'NormalZ': 0.0, 'ConnectedLegID': 100084, 'Radius': 0.006, 'Depth': 0.05}]",2
